engine,series,lag_unit,lag,acf,n_pairs,bartlett_ci
Gemini,segment-demeaned,collected-day index,8,-0.10888595216565607,43,0.2744548964694899
Gemini,segment-demeaned,collected-day index,9,0.00925523139733016,42,0.2744548964694899
Gemini,segment-demeaned,collected-day index,10,-0.012014813357784392,41,0.2744548964694899
Gemini,segment-demeaned,calendar day,1,0.15661526038020868,41,
Gemini,segment-demeaned,calendar day,2,0.3336992613742551,37,
Gemini,segment-demeaned,calendar day,3,0.10529792607994545,33,
Gemini,segment-demeaned,calendar day,4,0.1548693042337572,31,
Gemini,segment-demeaned,calendar day,5,0.23851848420567914,30,
Gemini,segment-demeaned,calendar day,6,0.017105335288912112,29,
Gemini,segment-demeaned,calendar day,7,0.2651639907859654,29,
Gemini,segment-demeaned,calendar day,8,-0.02930605892586391,27,
Gemini,segment-demeaned,calendar day,9,0.04410957734859744,23,
Gemini,segment-demeaned,calendar day,10,0.031406117793510255,22,
Perplexity,raw,collected-day index,1,0.37536322861870697,51,0.2718030961503623
Perplexity,raw,collected-day index,2,0.35067510033445753,50,0.2718030961503623
Perplexity,raw,collected-day index,3,0.259036673227931,49,0.2718030961503623
Perplexity,raw,collected-day index,4,0.22863847819943187,48,0.2718030961503623
Perplexity,raw,collected-day index,5,0.22075278099714907,47,0.2718030961503623
Perplexity,raw,collected-day index,6,0.16218264300825225,46,0.2718030961503623
Perplexity,raw,collected-day index,7,0.31650329452172193,45,0.2718030961503623
Perplexity,raw,collected-day index,8,0.06750107158079496,44,0.2718030961503623
Perplexity,raw,collected-day index,9,0.051167546874186794,43,0.2718030961503623
Perplexity,raw,collected-day index,10,0.08208436339002681,42,0.2718030961503623
Perplexity,raw,calendar day,1,0.3802788636528589,43,
Perplexity,raw,calendar day,2,0.5584995116455044,39,
Perplexity,raw,calendar day,3,0.4878354273688171,35,
Perplexity,raw,calendar day,4,0.5345325737664474,33,
Perplexity,raw,calendar day,5,0.35114973734694527,31,
Perplexity,raw,calendar day,6,0.45690267441633625,30,
Perplexity,raw,calendar day,7,0.24944343234254135,29,
Perplexity,raw,calendar day,8,0.21830191399221638,28,
Perplexity,raw,calendar day,9,0.11539186137512242,24,
Perplexity,raw,calendar day,10,0.10866048750864533,23,
Perplexity,segment-demeaned,collected-day index,1,0.016337159272167508,51,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,2,0.09770850673607072,50,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,3,-0.012910518526204,49,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,4,0.007094281553505019,48,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,5,-0.06146447426444802,47,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,6,-0.16929567753651084,46,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,7,0.11367797893701591,45,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,8,-0.21829669013709252,44,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,9,-0.16330716103444107,43,0.2718030961503623
Perplexity,segment-demeaned,collected-day index,10,-0.02533314711089471,42,0.2718030961503623
Perplexity,segment-demeaned,calendar day,1,0.005760260013760618,43,
Perplexity,segment-demeaned,calendar day,2,0.2984568443171595,39,
Perplexity,segment-demeaned,calendar day,3,0.17252983823949422,35,
Perplexity,segment-demeaned,calendar day,4,0.3277767526164752,33,
Perplexity,segment-demeaned,calendar day,5,-0.11867824747080802,31,
Perplexity,segment-demeaned,calendar day,6,-0.2394960248653786,30,
Perplexity,segment-demeaned,calendar day,7,-0.32702635678161235,29,
Perplexity,segment-demeaned,calendar day,8,-0.22506508436320752,28,
Perplexity,segment-demeaned,calendar day,9,-0.363086908172104,24,
Perplexity,segment-demeaned,calendar day,10,-0.3843089381580216,23,
Groq,raw,collected-day index,1,0.7237087708513524,46,0.28589538333587333
Groq,raw,collected-day index,2,0.5734317853117844,45,0.28589538333587333
Groq,raw,collected-day index,3,0.5445318884814523,44,0.28589538333587333
Groq,raw,collected-day index,4,0.46368880406579044,43,0.28589538333587333
Groq,raw,collected-day index,5,0.2834378134701939,42,0.28589538333587333
Groq,raw,collected-day index,6,0.1561526529853682,41,0.28589538333587333
Groq,raw,collected-day index,7,0.13821971565200625,40,0.28589538333587333
Groq,raw,collected-day index,8,0.015624605370064609,39,0.28589538333587333
Groq,raw,collected-day index,9,0.0015353933909462874,38,0.28589538333587333
Groq,raw,collected-day index,10,-0.004443205455364107,37,0.28589538333587333
Groq,raw,calendar day,1,0.7739081670721519,41,
Groq,raw,calendar day,2,0.7073791969096886,38,
Groq,raw,calendar day,3,0.6993671560788377,35,
Groq,raw,calendar day,4,0.7087168804977972,33,
Groq,raw,calendar day,5,0.48443746135670757,31,
Groq,raw,calendar day,6,0.4081105326571766,29,
Groq,raw,calendar day,7,0.22070841861386384,27,
Groq,raw,calendar day,8,0.2236934223930093,25,
Groq,raw,calendar day,9,-0.20262735313672797,23,
Groq,raw,calendar day,10,0.04863225693411346,22,
Groq,segment-demeaned,collected-day index,1,0.26557704267237925,46,0.28589538333587333
Groq,segment-demeaned,collected-day index,2,-0.11652208908192785,45,0.28589538333587333
Groq,segment-demeaned,collected-day index,3,-0.05286688342110342,44,0.28589538333587333
Groq,segment-demeaned,collected-day index,4,0.15576738025023493,43,0.28589538333587333
Groq,segment-demeaned,collected-day index,5,0.03561127745621041,42,0.28589538333587333
Groq,segment-demeaned,collected-day index,6,-0.12577181023976888,41,0.28589538333587333
Groq,segment-demeaned,collected-day index,7,-0.09654676044984146,40,0.28589538333587333
Groq,segment-demeaned,collected-day index,8,-0.13480219624378686,39,0.28589538333587333
Groq,segment-demeaned,collected-day index,9,-0.03590959190457859,38,0.28589538333587333
Groq,segment-demeaned,collected-day index,10,-0.007164180574699425,37,0.28589538333587333
Groq,segment-demeaned,calendar day,1,0.24967828960114472,41,
Groq,segment-demeaned,calendar day,2,-0.06272496054376298,38,
Groq,segment-demeaned,calendar day,3,0.012134662282644279,35,
Groq,segment-demeaned,calendar day,4,0.11670586432862277,33,
Groq,segment-demeaned,calendar day,5,-0.15864159822531435,31,
Groq,segment-demeaned,calendar day,6,-0.19389643974884685,29,
Groq,segment-demeaned,calendar day,7,-0.16204393647360307,27,
Groq,segment-demeaned,calendar day,8,-0.2429573987188287,25,
Groq,segment-demeaned,calendar day,9,-0.2026273531367279,23,
Groq,segment-demeaned,calendar day,10,0.0486322569341134,22,
